n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
981, 30039696.407186, 358815, 110464.456587, 29864603.142216, 64628.808383, 3360, 348360, 7095, 10, 7611720, 7095, 7622175, 48912, 16608, 8
4847, 807649901.800000, 4486245, 2522673.680000, 804768282.360000, 358945.760000, 20984, 4389160, 76101, 10, 195883640, 76101, 195980725, 570032, 246240, 8
5167, 942314938.136364, 5313381, 2579568.590909, 939334281.727273, 401087.818182, 24544, 5199700, 89137, 10, 229010780, 89137, 229124461, 671760, 294544, 8
1879, 149704930.731343, 895207, 274099.089552, 149313737.843284, 117093.798507, 5330, 873120, 16757, 10, 36359920, 16757, 36382007, 119024, 44480, 8
5879, 1312442624.062500, 7093246, 3563964.062500, 1308388575.500000, 490084.500000, 32481, 6943540, 117225, 10, 318861020, 117225, 319010726, 890768, 398352, 8
6452, 1798473517.666667, 9121073, 5864677.333333, 1792041841.750000, 566998.583333, 41461, 8930800, 148812, 10, 436846000, 148812, 437036273, 1138880, 517824, 8
2442, 199418497.000000, 1274134, 448385.415842, 198816038.435644, 154073.148515, 7000, 1243680, 23454, 10, 48652000, 23454, 48682454, 168096, 64512, 8
7272, 2695513305.500000, 11793504, 6523314.250000, 2688317849.625000, 672141.625000, 53616, 11549340, 190548, 10, 652198020, 190548, 652442184, 1466208, 674928, 8
7766, 3280229835.000000, 13894792, 9126455.428571, 3270360149.857142, 743229.714286, 62886, 13608800, 223106, 10, 793536480, 223106, 793822472, 1722720, 799232, 8
8522, 4725693196.800000, 16198339, 9404088.600000, 4715399516.600000, 889591.600000, 73149, 15866020, 259170, 10, 1132441820, 259170, 1132774139, 2005184, 934416, 8
9278, 5853858313.250000, 19247008, 11696717.500000, 5841231683.250000, 929912.500000, 86958, 18853580, 306470, 10, 1405442260, 306470, 1405835688, 2377536, 1114544, 8
3128, 321749915.079365, 2190863, 923104.698413, 320609128.079365, 217682.301587, 10903, 2141480, 38480, 10, 78962520, 38480, 79011903, 282816, 116384, 8
4142, 608811913.151515, 3405064, 1767031.212121, 606745174.757576, 299707.181818, 16302, 3330200, 58562, 10, 147833160, 58562, 147908024, 435360, 184544, 8
10334, 7786379244.666666, 23002091, 16226928.666667, 7769079048.333333, 1073267.666667, 103537, 22533600, 364954, 10, 1863523360, 364954, 1863991851, 2836960, 1335808, 8
169867, 2560519431972.000000, 454341344, 2380398427.000000, 2558075592335.000000, 63441210.000000, 17612397, 378237958, 58490989, 1, 588773870378, 58490989, 588849973764, 466568976, 231925552, 8
187172, 3317806447264.000000, 517580951, 2932797952.000000, 3314801646003.000000, 72003309.000000, 20060809, 430897126, 66623016, 1, 762387787434, 66623016, 762474471259, 531486752, 264246000, 8
204131, 4178187669543.000000, 582121446, 3545558603.000000, 4174561791279.000000, 80319661.000000, 22568225, 484633124, 74920097, 1, 960051398644, 74920097, 960148886966, 597727728, 297230816, 8
221003, 5140713359228.000000, 646846481, 4060882925.000000, 5136561210789.000000, 91265514.000000, 25073188, 538531316, 83241977, 1, 1180562628476, 83241977, 1180670943641, 664167792, 330315872, 8
45729, 62403804959.000000, 63219623, 297293246.000000, 62095820271.000000, 10691442.000000, 2442374, 52603498, 8173751, 1, 14510389198, 8173751, 14521005323, 65024176, 32146256, 8
71223, 229464901419.000000, 129333607, 620837731.000000, 228824841560.000000, 19222128.000000, 5006374, 107641060, 16686173, 1, 53048850828, 16686173, 53070543375, 132919600, 65890016, 8
92295, 495616455478.000000, 194543966, 919868023.000000, 494668145282.000000, 28442173.000000, 7530491, 161936826, 25076649, 1, 114297406310, 25076649, 114330013450, 199874832, 99199056, 8
111227, 861106647620.000000, 259408399, 1230865315.000000, 859838581957.000000, 37200348.000000, 10051092, 215939118, 33418189, 1, 198362227426, 33418189, 198405696707, 266455696, 132338032, 8
135339, 1337311062031.000000, 325415360, 1540589336.000000, 1335724306662.000000, 46166033.000000, 12608081, 270892122, 41915157, 1, 307649843766, 41915157, 307704367004, 334238544, 166036560, 8
152638, 1896707063775.000000, 389711574, 2071871848.000000, 1894580416809.000000, 54775118.000000, 15104716, 324425232, 50181626, 1, 436038741136, 50181626, 436104027478, 400231904, 198894848, 8
221588, 5177580520179.000000, 649141577, 4637727266.000000, 5172851697569.000000, 91095344.000000, 25163269, 540441432, 83536876, 1, 1188807209192, 83536876, 1188915909337, 666522304, 331488448, 8
