n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd
981, 488257.791477, 358815, 86986.068066, 365886.919095, 35384.804316, 3360, 348360, 7095, 10, 7611720, 7095, 7622175, 48912, 16608
4847, 8056520.051064, 4486245, 1693114.131528, 6045146.362476, 318259.557060, 20984, 4389160, 76101, 10, 195883640, 76101, 195980725, 570032, 246240
5167, 9934278.115900, 5313381, 2389431.826149, 7189219.958812, 355626.330939, 24544, 5199700, 89137, 10, 229010780, 89137, 229124461, 671760, 294544
1879, 1305326.485828, 895207, 242599.807269, 979199.910812, 83526.767746, 5330, 873120, 16757, 10, 36359920, 16757, 36382007, 119024, 44480
5879, 13378424.993532, 7093246, 3330929.296248, 9613074.330530, 434421.366753, 32481, 6943540, 117225, 10, 318861020, 117225, 319010726, 890768, 398352
6452, 16469439.199362, 9121073, 3746694.779904, 12208992.200957, 513752.218501, 41461, 8930800, 148812, 10, 436846000, 148812, 437036273, 1138880, 517824
2442, 1988688.102792, 1274134, 398049.575016, 1469310.767622, 121327.760153, 7000, 1243680, 23454, 10, 48652000, 23454, 48682454, 168096, 64512
7272, 21540210.297071, 11793504, 5249051.964435, 15678294.743724, 612863.588912, 53616, 11549340, 190548, 10, 652198020, 190548, 652442184, 1466208, 674928
7766, 25116554.782662, 13894792, 6157359.811966, 18284425.312576, 674769.658120, 62886, 13608800, 223106, 10, 793536480, 223106, 793822472, 1722720, 799232
8522, 31843956.830745, 16198339, 9677786.017081, 21404474.878882, 761695.934783, 73149, 15866020, 259170, 10, 1132441820, 259170, 1132774139, 2005184, 934416
9278, 37954354.111111, 19247008, 11856588.762963, 25235255.911111, 862509.437037, 86958, 18853580, 306470, 10, 1405442260, 306470, 1405835688, 2377536, 1114544
3128, 3715811.138394, 2190863, 745975.006884, 2784711.595410, 185124.536099, 10903, 2141480, 38480, 10, 78962520, 38480, 79011903, 282816, 116384
4142, 6065272.798317, 3405064, 1250282.589669, 4554167.648578, 260822.560070, 16302, 3330200, 58562, 10, 147833160, 58562, 147908024, 435360, 184544
10334, 42432968.728778, 23002091, 11427403.660455, 30019207.544513, 986357.523810, 103537, 22533600, 364954, 10, 1863523360, 364954, 1863991851, 2836960, 1335808
169867, 10239075631.500000, 3858482966, 3834810449.000000, 6338280400.500000, 65984782.000000, 17612397, 3782379580, 58490989, 10, 5887738703780, 58490989, 5887814807166, 466568976, 231925552
187172, 11878656153.000000, 4395655085, 4406142047.500000, 7397287304.500000, 75226801.000000, 20060809, 4308971260, 66623016, 10, 7623877874340, 66623016, 7623964558165, 531486752, 264246000
204131, 13630281061.000000, 4943819562, 5033111315.000000, 8513484208.000000, 83685538.000000, 22568225, 4846331240, 74920097, 10, 9600513986440, 74920097, 9600611474762, 597727728, 297230816
221003, 15457162403.500000, 5493628325, 5706727277.500000, 9654566947.500000, 95868178.500000, 25073188, 5385313160, 83241977, 10, 11805626284760, 83241977, 11805734599925, 664167792, 330315872
45729, 1075258969.736842, 536651105, 389817628.263158, 675048320.052631, 10393021.421053, 2442374, 526034980, 8173751, 10, 145103891980, 8173751, 145114508105, 65024176, 32146256
71223, 2475622444.555555, 1098103147, 980179896.444444, 1475306484.444444, 20136063.666667, 5006374, 1076410600, 16686173, 10, 530488508280, 16686173, 530510200827, 132919600, 65890016
92295, 3908865831.500000, 1651975400, 1525018878.666667, 2354678240.166667, 29168712.666667, 7530491, 1619368260, 25076649, 10, 1142974063100, 25076649, 1143006670240, 199874832, 99199056
111227, 5473910113.750000, 2202860461, 2108986821.000000, 3326373016.000000, 38550276.750000, 10051092, 2159391180, 33418189, 10, 1983622274260, 33418189, 1983665743541, 266455696, 132338032
135339, 7070430586.666666, 2763444458, 2694768653.000000, 4327821491.666666, 47840442.000000, 12608081, 2708921220, 41915157, 10, 3076498437660, 41915157, 3076552960898, 334238544, 166036560
152638, 8561608574.000000, 3309538662, 3268413737.000000, 5236161219.000000, 57033618.000000, 15104716, 3244252320, 50181626, 10, 4360387411360, 50181626, 4360452697702, 400231904, 198894848
221588, 15357550885.500000, 5513114465, 5749355544.000000, 9514610181.000000, 93585160.500000, 25163269, 5404414320, 83536876, 10, 11888072091920, 83536876, 11888180792065, 666522304, 331488448
