n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
981, 439608.830435, 358815, 69339.098780, 335129.819600, 35139.912055, 3360, 348360, 7095, 10, 7611720, 7095, 7622175, 48912, 16608, 8
4847, 6836655.651201, 4486245, 2481191.066964, 4017063.509279, 338401.074958, 20984, 4389160, 76101, 10, 195883640, 76101, 195980725, 570032, 246240, 8
5167, 7504460.445968, 5313381, 2378372.418925, 4744222.512193, 381865.514850, 24544, 5199700, 89137, 10, 229010780, 89137, 229124461, 671760, 294544, 8
1879, 1125244.007705, 895207, 253342.366469, 790261.357215, 81640.284021, 5330, 873120, 16757, 10, 36359920, 16757, 36382007, 119024, 44480, 8
5879, 9938107.246076, 7093246, 3310136.266049, 6164332.838738, 463638.141290, 32481, 6943540, 117225, 10, 318861020, 117225, 319010726, 890768, 398352, 8
6452, 13818228.723682, 9121073, 5571864.384187, 7701648.482594, 544715.856901, 41461, 8930800, 148812, 10, 436846000, 148812, 437036273, 1138880, 517824, 8
2442, 1741700.605874, 1274134, 476968.856434, 1143473.826305, 121257.923135, 7000, 1243680, 23454, 10, 48652000, 23454, 48682454, 168096, 64512, 8
7272, 16461512.247632, 11793504, 6029663.472289, 9784836.427202, 647012.348141, 53616, 11549340, 190548, 10, 652198020, 190548, 652442184, 1466208, 674928, 8
7766, 19305465.878978, 13894792, 7176551.918221, 11406374.573123, 722539.387634, 62886, 13608800, 223106, 10, 793536480, 223106, 793822472, 1722720, 799232, 8
8522, 22680928.286599, 16198339, 8572509.220890, 13300901.312583, 807517.753126, 73149, 15866020, 259170, 10, 1132441820, 259170, 1132774139, 2005184, 934416, 8
9278, 27191329.963146, 19247008, 10368917.161491, 15919495.140401, 902917.661254, 86958, 18853580, 306470, 10, 1405442260, 306470, 1405835688, 2377536, 1114544, 8
3128, 3111533.943669, 2190863, 1030797.556999, 1892274.997237, 188461.389433, 10903, 2141480, 38480, 10, 78962520, 38480, 79011903, 282816, 116384, 8
4142, 4745907.283520, 3405064, 1410315.748167, 3061009.864891, 274581.670462, 16302, 3330200, 58562, 10, 147833160, 58562, 147908024, 435360, 184544, 8
10334, 32732412.716372, 23002091, 12794864.432225, 18917840.687855, 1019707.596292, 103537, 22533600, 364954, 10, 1863523360, 364954, 1863991851, 2836960, 1335808, 8
169867, 6670312301.538462, 3858482966, 2788810234.000000, 3817321578.538462, 64180489.000000, 17612397, 3782379580, 58490989, 10, 5887738703780, 58490989, 5887814807166, 466568976, 231925552, 8
187172, 8057599795.797980, 4395655085, 3397839852.888889, 4586014626.727273, 73745316.181818, 20060809, 4308971260, 66623016, 10, 7623877874340, 66623016, 7623964558165, 531486752, 264246000, 8
204131, 9823584427.000000, 4943819562, 4242522944.000000, 5498115754.333333, 82945728.666667, 22568225, 4846331240, 74920097, 10, 9600513986440, 74920097, 9600611474762, 597727728, 297230816, 8
221003, 11848333926.047619, 5493628325, 5022141066.333333, 6724106550.285714, 102086309.428571, 25073188, 5385313160, 83241977, 10, 11805626284760, 83241977, 11805734599925, 664167792, 330315872, 8
45729, 728239095.903509, 536651105, 281286810.000000, 436496456.991228, 10455828.912281, 2442374, 526034980, 8173751, 10, 145103891980, 8173751, 145114508105, 65024176, 32146256, 8
71223, 1582935844.618448, 1098103147, 625822213.222222, 937331863.509434, 19781767.886792, 5006374, 1076410600, 16686173, 10, 530488508280, 16686173, 530510200827, 132919600, 65890016, 8
92295, 2398836183.928104, 1651975400, 923957238.222222, 1446294805.088235, 28584140.617647, 7530491, 1619368260, 25076649, 10, 1142974063100, 25076649, 1143006670240, 199874832, 99199056, 8
111227, 3270808643.737778, 2202860461, 1242599586.777778, 1990787163.960000, 37421893.000000, 10051092, 2159391180, 33418189, 10, 1983622274260, 33418189, 1983665743541, 266455696, 132338032, 8
135339, 4334936223.228070, 2763444458, 1692974548.333333, 2595343383.631579, 46618291.263158, 12608081, 2708921220, 41915157, 10, 3076498437660, 41915157, 3076552960898, 334238544, 166036560, 8
152638, 5504884220.133333, 3309538662, 2228923905.333333, 3218501462.200000, 57458852.600000, 15104716, 3244252320, 50181626, 10, 4360387411360, 50181626, 4360452697702, 400231904, 198894848, 8
221588, 11873343947.857143, 5513114465, 5076831872.000000, 6704983387.000000, 91528688.857143, 25163269, 5404414320, 83536876, 10, 11888072091920, 83536876, 11888180792065, 666522304, 331488448, 8
