n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
981, 467849.051885, 358815, 68663.476689, 364146.399722, 35039.175474, 3360, 348360, 7095, 10, 7611720, 7095, 7622175, 48912, 16608, 8
4847, 8771815.333244, 4486245, 2477159.496781, 5981389.491087, 313266.345376, 20984, 4389160, 76101, 10, 195883640, 76101, 195980725, 570032, 246240, 8
5167, 9791877.526591, 5313381, 2366678.933270, 7075772.882694, 349425.710627, 24544, 5199700, 89137, 10, 229010780, 89137, 229124461, 671760, 294544, 8
1879, 1319638.990391, 895207, 251814.855812, 986803.606426, 81020.528153, 5330, 873120, 16757, 10, 36359920, 16757, 36382007, 119024, 44480, 8
5879, 13225779.365748, 7093246, 3327785.854957, 9465683.743279, 432309.767512, 32481, 6943540, 117225, 10, 318861020, 117225, 319010726, 890768, 398352, 8
6452, 18158516.404627, 9121073, 5602862.469205, 12048220.709880, 507433.225542, 41461, 8930800, 148812, 10, 436846000, 148812, 437036273, 1138880, 517824, 8
2442, 2076921.313759, 1274134, 474793.161143, 1484309.048566, 117819.104049, 7000, 1243680, 23454, 10, 48652000, 23454, 48682454, 168096, 64512, 8
7272, 21970890.556392, 11793504, 5992363.825150, 15374125.874539, 604400.856704, 53616, 11549340, 190548, 10, 652198020, 190548, 652442184, 1466208, 674928, 8
7766, 25933515.180315, 13894792, 7202893.246043, 18058926.149512, 671695.784760, 62886, 13608800, 223106, 10, 793536480, 223106, 793822472, 1722720, 799232, 8
8522, 30357014.108668, 16198339, 8529496.834753, 21068270.699536, 759246.574378, 73149, 15866020, 259170, 10, 1132441820, 259170, 1132774139, 2005184, 934416, 8
9278, 36217946.081819, 19247008, 10403890.099792, 24965495.101348, 848560.880679, 86958, 18853580, 306470, 10, 1405442260, 306470, 1405835688, 2377536, 1114544, 8
3128, 3994889.208516, 2190863, 1030786.650175, 2784830.057310, 179272.501030, 10903, 2141480, 38480, 10, 78962520, 38480, 79011903, 282816, 116384, 8
4142, 6199247.593612, 3405064, 1423180.221969, 4521349.748802, 254717.622841, 16302, 3330200, 58562, 10, 147833160, 58562, 147908024, 435360, 184544, 8
10334, 43443483.447747, 23002091, 12691353.725888, 29777384.706373, 974745.015485, 103537, 22533600, 364954, 10, 1863523360, 364954, 1863991851, 2836960, 1335808, 8
