n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd
981, 736003.763902, 358815, 84974.120046, 615835.602193, 35194.041662, 3360, 348360, 7095, 10, 7611720, 7095, 7622175, 48912, 16608
4847, 11333958.536304, 4486245, 1699235.492849, 9306597.925743, 328125.117712, 20984, 4389160, 76101, 10, 195883640, 76101, 195980725, 570032, 246240
5167, 13717286.773182, 5313381, 2396762.618412, 10951426.253502, 369097.901268, 24544, 5199700, 89137, 10, 229010780, 89137, 229124461, 671760, 294544
1879, 2022857.783687, 895207, 243660.298072, 1693820.853918, 85376.631696, 5330, 873120, 16757, 10, 36359920, 16757, 36382007, 119024, 44480
5879, 18205903.674357, 7093246, 3342957.391304, 14411744.220941, 451202.062112, 32481, 6943540, 117225, 10, 318861020, 117225, 319010726, 890768, 398352
6452, 22653961.241150, 9121073, 3826673.496681, 18300628.176991, 526659.567478, 41461, 8930800, 148812, 10, 436846000, 148812, 437036273, 1138880, 517824
2442, 2978656.908287, 1274134, 393051.240194, 2459891.862502, 125713.805591, 7000, 1243680, 23454, 10, 48652000, 23454, 48682454, 168096, 64512
7272, 29631598.647826, 11793504, 5301712.530435, 23699431.985507, 630454.131884, 53616, 11549340, 190548, 10, 652198020, 190548, 652442184, 1466208, 674928
7766, 34871197.993174, 13894792, 6297241.378840, 27870211.993174, 703744.621160, 62886, 13608800, 223106, 10, 793536480, 223106, 793822472, 1722720, 799232
8522, 43168867.508475, 16198339, 9768052.612288, 32621570.669492, 779244.226695, 73149, 15866020, 259170, 10, 1132441820, 259170, 1132774139, 2005184, 934416
9278, 50988587.692500, 19247008, 11762747.467500, 38339944.737500, 885895.487500, 86958, 18853580, 306470, 10, 1405442260, 306470, 1405835688, 2377536, 1114544
3128, 5358389.667183, 2190863, 750885.206816, 4414153.132714, 193351.327653, 10903, 2141480, 38480, 10, 78962520, 38480, 79011903, 282816, 116384
4142, 8625375.722756, 3405064, 1258957.043841, 7093446.058873, 272972.620042, 16302, 3330200, 58562, 10, 147833160, 58562, 147908024, 435360, 184544
10334, 58596248.787356, 23002091, 11745188.439655, 45853739.752874, 997320.594828, 103537, 22533600, 364954, 10, 1863523360, 364954, 1863991851, 2836960, 1335808
