n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
981, 409277.000282, 358815, 58577.663015, 333735.981251, 16963.356016, 3360, 348360, 7095, 10, 7611720, 7095, 7622175, 24456, 8304, 4
4847, 7365904.747167, 4486245, 1657297.954922, 5508142.273959, 200464.518286, 20984, 4389160, 76101, 10, 195883640, 76101, 195980725, 285016, 123120, 4
5167, 8952234.676979, 5313381, 2196279.204216, 6531938.629784, 224016.842978, 24544, 5199700, 89137, 10, 229010780, 89137, 229124461, 335880, 147272, 4
1879, 1109299.038300, 895207, 167839.263200, 893389.270767, 48070.504333, 5330, 873120, 16757, 10, 36359920, 16757, 36382007, 59512, 22240, 4
5879, 12103850.695728, 7093246, 3069468.912830, 8761367.776590, 273014.006308, 32481, 6943540, 117225, 10, 318861020, 117225, 319010726, 445384, 199176, 4
6452, 15146964.991391, 9121073, 3592202.381466, 11228928.619358, 325833.990568, 41461, 8930800, 148812, 10, 436846000, 148812, 437036273, 569440, 258912, 4
2442, 1689352.230673, 1274134, 287532.522887, 1324161.363347, 77658.344439, 7000, 1243680, 23454, 10, 48652000, 23454, 48682454, 84048, 32256, 4
7272, 19471270.253615, 11793504, 4815177.506256, 14273498.896660, 382593.850699, 53616, 11549340, 190548, 10, 652198020, 190548, 652442184, 733104, 337464, 4
7766, 23871233.939744, 13894792, 6681631.441923, 16763534.502849, 426067.994972, 62886, 13608800, 223106, 10, 793536480, 223106, 793822472, 861360, 399616, 4
8522, 27809110.054860, 16198339, 7930810.497623, 19405503.526193, 472796.031044, 73149, 15866020, 259170, 10, 1132441820, 259170, 1132774139, 1002592, 467208, 4
9278, 31928111.313356, 19247008, 8430407.823232, 22964781.760220, 532921.729904, 86958, 18853580, 306470, 10, 1405442260, 306470, 1405835688, 1188768, 557272, 4
3128, 3280727.528550, 2190863, 642137.296135, 2517474.820351, 121115.412064, 10903, 2141480, 38480, 10, 78962520, 38480, 79011903, 141408, 58192, 4
4142, 5466391.262697, 3405064, 1168620.049544, 4131072.313698, 166698.899455, 16302, 3330200, 58562, 10, 147833160, 58562, 147908024, 217680, 92272, 4
10334, 39566719.188486, 23002091, 11821701.687943, 27148448.406080, 596569.094463, 103537, 22533600, 364954, 10, 1863523360, 364954, 1863991851, 1418480, 667904, 4
